Container contains 10000 elements:
1: Car, fuel tank capacity = 60, fuel spending = 12.436694717281227, max speed = 164, comparison parameter = 482.4432967436909
2: Car, fuel tank capacity = 100, fuel spending = 11.77103257286986, max speed = 95, comparison parameter = 849.5431422939245
3: Truck, fuel tank capacity = 56, fuel spending = 1.4884682640548994, carrying capacity = 677, comparison parameter = 3762.25690210178
4: Truck, fuel tank capacity = 82, fuel spending = 19.031198584538426, carrying capacity = 727, comparison parameter = 430.8714432028443
5: Truck, fuel tank capacity = 96, fuel spending = 1.963321173727923, carrying capacity = 776, comparison parameter = 4889.673746945678
6: Car, fuel tank capacity = 24, fuel spending = 4.597262745579089, max speed = 86, comparison parameter = 522.04977892724
7: Bus, fuel tank capacity = 72, fuel spending = 14.621820190923643, passenger seats = 10, comparison parameter = 492.41475452347123
8: Bus, fuel tank capacity = 90, fuel spending = 11.577578250983748, passenger seats = 4, comparison parameter = 777.3646443922993
9: Truck, fuel tank capacity = 1, fuel spending = 9.844206459286386, carrying capacity = 715, comparison parameter = 10.158259115509152
10: Car, fuel tank capacity = 34, fuel spending = 20.435978605891975, max speed = 167, comparison parameter = 166.3732413098012
11: Bus, fuel tank capacity = 10, fuel spending = 13.054960342543534, passenger seats = 13, comparison parameter = 76.59923690010744
12: Truck, fuel tank capacity = 49, fuel spending = 15.061948246853358, carrying capacity = 638, comparison parameter = 325.32312020283797
13: Truck, fuel tank capacity = 38, fuel spending = 3.034491748009393, carrying capacity = 926, comparison parameter = 1252.269017535729
14: Car, fuel tank capacity = 67, fuel spending = 0.9991839061181262, max speed = 71, comparison parameter = 6705.472294914954
15: Truck, fuel tank capacity = 50, fuel spending = 10.234539565141633, carrying capacity = 307, comparison parameter = 488.54176274131254
16: Bus, fuel tank capacity = 26, fuel spending = 6.162987980562259, passenger seats = 11, comparison parameter = 421.8732874703413
17: Bus, fuel tank capacity = 74, fuel spending = 20.525059724158087, passenger seats = 20, comparison parameter = 360.53488269708504
18: Car, fuel tank capacity = 26, fuel spending = 7.529698525295759, max speed = 8, comparison parameter = 345.2993491393302
19: Truck, fuel tank capacity = 20, fuel spending = 20.603346357265085, carrying capacity = 802, comparison parameter = 97.07160988898129
20: Car, fuel tank capacity = 98, fuel spending = 10.835850912251086, max speed = 155, comparison parameter = 904.4052081705972
21: Car, fuel tank capacity = 56, fuel spending = 19.358189886652625, max speed = 113, comparison parameter = 289.2832456334759
22: Bus, fuel tank capacity = 6, fuel spending = 4.771110731831726, passenger seats = 5, comparison parameter = 125.75688004827501
23: Truck, fuel tank capacity = 44, fuel spending = 10.098198319393802, carrying capacity = 942, comparison parameter = 435.72129015823623
24: Bus, fuel tank capacity = 44, fuel spending = 4.607681027684179, passenger seats = 18, comparison parameter = 954.9272125313415
25: Truck, fuel tank capacity = 44, fuel spending = 15.465517928118087, carrying capacity = 517, comparison parameter = 284.5038892619493
26: Car, fuel tank capacity = 67, fuel spending = 18.19543322331657, max speed = 77, comparison parameter = 368.2242636253515
27: Truck, fuel tank capacity = 18, fuel spending = 14.858677583790044, carrying capacity = 20, comparison parameter = 121.14133238638247
28: Bus, fuel tank capacity = 1, fuel spending = 1.6117196253020625, passenger seats = 2, comparison parameter = 62.04553101551914
29: Truck, fuel tank capacity = 92, fuel spending = 8.863684436353712, carrying capacity = 218, comparison parameter = 1037.9430885723905
30: Bus, fuel tank capacity = 85, fuel spending = 11.623633002524384, passenger seats = 12, comparison parameter = 731.2687864589321
31: Bus, fuel tank capacity = 14, fuel spending = 13.178024981973941, passenger seats = 7, comparison parameter = 106.23746744410052
32: Bus, fuel tank capacity = 38, fuel spending = 13.283853724599645, passenger seats = 2, comparison parameter = 286.0615660772436
33: Truck, fuel tank capacity = 27, fuel spending = 4.163287377125259, carrying capacity = 332, comparison parameter = 648.5259736896529
34: Car, fuel tank capacity = 42, fuel spending = 12.025762652576502, max speed = 7, comparison parameter = 349.25019903832515
35: Truck, fuel tank capacity = 55, fuel spending = 13.260079544658407, carrying capacity = 68, comparison parameter = 414.7788089412766
36: Car, fuel tank capacity = 86, fuel spending = 16.40450541230169, max speed = 43, comparison parameter = 524.2462228425909
37: Truck, fuel tank capacity = 72, fuel spending = 17.6712019300411, carrying capacity = 227, comparison parameter = 407.44257399718674
38: Car, fuel tank capacity = 11, fuel spending = 12.705095637591473, max speed = 183, comparison parameter = 86.57943484859346
39: Car, fuel tank capacity = 36, fuel spending = 19.78460190349048, max speed = 138, comparison parameter = 181.9596885275146
40: Bus, fuel tank capacity = 6, fuel spending = 18.408357223002128, passenger seats = 3, comparison parameter = 32.593891607572196
41: Truck, fuel tank capacity = 51, fuel spending = 7.753854654234042, carrying capacity = 757, comparison parameter = 657.7373741736457
42: Car, fuel tank capacity = 55, fuel spending = 4.089619091778593, max speed = 151, comparison parameter = 1344.8685260338088
43: Car, fuel tank capacity = 56, fuel spending = 20.025108989306197, max speed = 198, comparison parameter = 279.64891491929006
44: Truck, fuel tank capacity = 6, fuel spending = 8.130270392683252, carrying capacity = 509, comparison parameter = 73.79828357737811
45: Car, fuel tank capacity = 58, fuel spending = 6.671178652162151, max speed = 149, comparison parameter = 869.411584131419
46: Truck, fuel tank capacity = 16, fuel spending = 8.81501446385379, carrying capacity = 644, comparison parameter = 181.50849400881236
47: Car, fuel tank capacity = 2, fuel spending = 0.027747021913304803, max speed = 168, comparison parameter = 7207.980756453695
48: Truck, fuel tank capacity = 30, fuel spending = 8.487303383875984, carrying capacity = 649, comparison parameter = 353.4691602634757
49: Bus, fuel tank capacity = 42, fuel spending = 20.304858517314738, passenger seats = 13, comparison parameter = 206.84704581509385
50: Truck, fuel tank capacity = 61, fuel spending = 3.3526534957152325, carrying capacity = 946, comparison parameter = 1819.4543539306817
51: Bus, fuel tank capacity = 70, fuel spending = 19.15120762943319, passenger seats = 6, comparison parameter = 365.51219826168085
52: Truck, fuel tank capacity = 12, fuel spending = 4.446188502618558, carrying capacity = 188, comparison parameter = 269.89409002638257
